Book_Code,Book_Title,Author,Year_Published,Pages,ID_Peminjaman,Tanggal_Peminjaman,Tanggal_Pengembalian,ID_Anggota Peminjam,Nama_Anggota,Alamat,No.Telepon
911,The Confessions,Jean-Jacques Rousseau,1781,606,PB-2023-001,2024-09-05,2023-09-14,123894,Felicity,Garibaldi Avenue,(021) - 428604
882,The Art of Loving,Erich Fromm,1956,146,PB-2023-002,2024-09-05,2023-09-14,123881,Melania,81 St,(021) - 428605
102,The Adventures of Huckleberry Finn,Mark Twain,1884,288,PB-2023-003,2024-09-05,2023-09-14,123878,Magdalena,Elm Dr,(021) - 428606
378,My Life and Hard Times,James Thurber,1933,115,PB-2023-004,2024-09-05,2023-09-14,123879,Anne-Marie,193 St,(021) - 428607
842,Romeo and Juliet,William Shakespeare,1596,146,PB-2023-005,2024-09-05,2023-09-14,123880,Bettie,Fairchild Avenue,(021) - 428608
850,The End of the Road,John Barth,1958,206,PB-2023-006,2024-09-05,2023-09-14,123877,Audrye,60 St,(021) - 428609
1301,Brave New World,Aldous Huxley,1932,199,PB-2023-007,2024-09-05,2023-09-14,123882,Amara,Broadway,(021) - 428610
1310,Boyhood with Gurdjieff,Fritz Peters,1964,174,PB-2023-008,2024-09-05,2023-09-14,123883,Bebe,Crotona Av,(021) - 428611
1105,In Search of the Miraculous,P.D. Ouspensky,1949,389,PB-2023-009,2024-09-05,2023-09-14,123884,Dea,Decatur St,(021) - 428612
1293,"Johann Sebastian Bach, an Introduction to his Life and Works",Russell H. Miles,1962,164,PB-2023-010,2024-09-05,2023-09-14,123885,Bathsheba,165 St,(021) - 428613
385,The Beatles,Hunter Davies,1968,340,PB-2023-011,2024-09-05,2023-09-14,123886,Natalee,2 Av,(021) - 428614
836,The Strange Life of Ivan Osokin,P.D. Ouspensky,1955,166,PB-2023-012,2024-09-05,2023-09-14,123903,Faythe,E 182 St,(021) - 428615
299,Mount Analogue,René Daumal,1952,106,PB-2023-013,2024-09-05,2023-09-14,123888,Jessi,38 Av,(021) - 428616
590,The Assistant,Bernard Malamud,1957,192,PB-2023-014,2024-09-05,2023-09-14,123889,Mersey,Holden Blvd,(021) - 428617
874,"Memories, Dreams, Reflections",C.G. Jung,1961,359,PB-2023-015,2024-09-05,2023-09-14,123890,Kippy,E 175 St,(021) - 428618
786,"Goodbye, Columbus",Philip Roth,1959,97,PB-2023-016,2024-09-05,2023-09-14,123891,Kalli,Linden Blvd,(021) - 428619
1184,Autobiography,Malcolm X and Alex Haley,1964,460,PB-2023-017,2024-09-05,2023-09-15,123892,Helaine,E 25 St,(021) - 428620
171,The World of Ted Serios,"Jule Eisenbud, M.D.",1968,339,PB-2023-018,2024-09-05,2023-09-15,125159,Helen,Walcott Av,(021) - 428621
28,A State of Change,Penelope Gilliatt,1967,221,PB-2023-019,2024-09-05,2023-09-15,125160,Madelin,W 13 St,(021) - 428622
547,The Picture of Dorian Gray,Oscar Wilde,1891,234,PB-2023-020,2024-09-05,2023-09-15,125161,Fredra,Buel Av,(021) - 428623
672,Catch 22,Joseph Heller,1961,463,PB-2023-021,2024-09-05,2023-09-15,125162,Jannel,Ryer Av,(021) - 428624
332,Candide,Voltaire,1758,144,PB-2023-022,2024-09-05,2023-09-15,125163,Marie,173 St,(021) - 428625
984,The Great Gatsby,F. Scott Fitzgerald,1925,182,PB-2023-023,2024-09-05,2023-09-15,125164,Caron,E 13 St,(021) - 428626
709,War and Peace,L.N. Tolstoy,1869,1444,PB-2023-024,2024-09-05,2023-09-15,125165,Elicia,172 St,(021) - 428627
360,Portnoy's Complaint,Philip Roth,1969,274,PB-2023-025,2024-09-05,2023-09-15,125166,Gavra,Benedict Av,(021) - 428628
236,Down and Out in Paris and London,George Orwell,1933,155,PB-2023-026,2024-09-05,2023-09-15,125167,Matti,Pelham Parkway South,(021) - 428629
150,The Brothers Karamazov,Fyodor Dostoyevsky,1881,701,PB-2023-027,2024-09-05,2023-09-15,125168,Inge,Boston Rd,(021) - 428630
830,Making It,Norman Podhoretz,1967,262,PB-2023-028,2024-09-05,2023-09-15,125169,Francyne,De Lavall Avenue,(021) - 428631
485,The Theory of Eternal Life,Rodney Collin,1948,123,PB-2023-029,2024-09-05,2023-09-15,125170,Elenore,Newbold Av,(021) - 428632
50,Miami and the Siege of Chicago,Norman Mailer,1968,223,PB-2023-030,2024-09-05,2023-09-15,125171,Mandy,48 Av,(021) - 428633
495,Meetings with Remarkable Men,G.I. Gurdjieff,1927,303,PB-2023-031,2024-09-05,2023-09-15,125172,Ingeberg,1 Av,(021) - 428634
331,Hamlet,William Shakespeare,1602,214,PB-2023-032,2024-09-05,2023-09-15,125173,Maryanna,Crotona Av,(021) - 428635
862,The Strawberry Statement,James Simon Kunen,1969,151,PB-2023-033,2024-09-05,2023-09-15,125174,Carry,Boston Rd,(021) - 428636
451,Wuthering Heights,Emily Brontë,1847,320,PB-2023-034,2024-09-05,2023-09-15,123909,Myrtle,Boston Rd,(021) - 428637
569,Moby Dick,Herman Melville,1851,535,PB-2023-035,2024-09-05,2023-09-16,123910,Jenni,Nassau Blvd,(021) - 428638
1247,The Sorrows of Young Werther,Johann Wolgang Goethe,1774,199,PB-2023-036,2024-09-05,2023-09-16,123911,Kathlin,207 St,(021) - 428639
492,Nausea,Jean-Paul Sartre,1938,253,PB-2023-037,2024-09-05,2023-09-16,123912,Leontyne,Seneca Av,(021) - 428640
811,The Armada,Garrett Mattingly,1959,402,PB-2023-038,2024-09-05,2023-09-16,123913,Jennine,3 Av,(021) - 428641
545,Eugénie Grandet,Honoré de Balzac,1833,248,PB-2023-039,2024-09-05,2023-09-16,123914,Charlene,Grand Concourse,(021) - 428642
557,The Conquest of Happiness,Bertrand Russell,1930,180,PB-2023-040,2024-09-05,2023-09-16,123908,Martelle,3 Av,(021) - 428643
119,Culture and Commitment,Margaret Mead,1970,97,PB-2023-041,2024-09-05,2023-09-16,123916,Blythe,Field Pl,(021) - 428644
